OTU,logMaxMean,LDA,pValue
Otu00324,1.46158,NA,NA
Otu00325,1.48428,NA,NA
Otu00327,1.27178,NA,NA
Otu00329,1.52478,NA,NA
Otu00330,0.659895,NA,NA
Otu00331,1.34225,NA,NA
Otu00332,1.13471,NA,NA
Otu00333,0.370382,NA,NA
Otu00334,1.35565,NA,NA
Otu00336,1.35,NA,NA
Otu00337,1.58426,NA,NA
Otu00339,0.999106,NA,NA
Otu00341,0.370382,NA,NA
Otu00342,0.573782,NA,NA
Otu00343,1.40714,NA,NA
Otu00344,1.62625,NA,NA
Otu00345,1.07166,NA,NA
Otu00346,1.59009,NA,NA
Otu00347,1.23291,NA,NA
Otu00348,1.23136,NA,NA
Otu00349,0.750381,NA,NA
Otu00350,1.00254,NA,NA
Otu00351,1.30372,NA,NA
Otu00352,0.808373,NA,NA
Otu00355,1.11051,NA,NA
Otu00356,1.05968,NA,NA
Otu00357,1.41735,NA,NA
Otu00358,1.07166,NA,NA
Otu00359,1.27345,NA,NA
Otu00360,1.03689,NA,NA
Otu00361,1.03689,NA,NA
Otu00363,0.802812,NA,NA
Otu00364,0.933716,NA,NA
Otu00365,1.89306,NA,NA
Otu00368,1.1546,NA,NA
Otu00369,1.03689,NA,NA
Otu00371,1.73229,NA,NA
Otu00372,0.658458,NA,NA
Otu00373,0.656684,NA,NA
Otu00374,1.28447,NA,NA
Otu00375,0.838804,NA,NA
Otu00376,1.62969,NA,NA
Otu00377,1.54204,NA,NA
Otu00378,1.86525,NA,NA
Otu00379,0.573782,NA,NA
Otu00380,0.872774,NA,NA
Otu00381,0.86945,NA,NA
Otu00382,0.899838,NA,NA
Otu00383,0.85204,NA,NA
Otu00384,1.05048,NA,NA
Otu00385,1.27274,NA,NA
Otu00386,1.19523,NA,NA
Otu00387,2.00399,NA,NA
Otu00388,0,NA,NA
Otu00389,1.12181,NA,NA
Otu00390,1.01858,NA,NA
Otu00391,1.60049,NA,NA
Otu00392,0.511181,NA,NA
Otu00393,0.573782,NA,NA
Otu00395,1.29676,NA,NA
Otu00396,0.860804,NA,NA
Otu00397,0.999106,NA,NA
Otu00398,0.777976,NA,NA
Otu00399,1.32331,NA,NA
Otu00401,1.07752,NA,NA
Otu00402,0.767065,NA,NA
Otu00403,0.559774,NA,NA
Otu00405,0.952546,NA,NA
Otu00406,0.965119,NA,NA
Otu00407,1.25763,NA,NA
Otu00409,1.28562,NA,NA
Otu00410,0.776007,NA,NA
Otu00411,0.89536,NA,NA
Otu00412,1.49974,NA,NA
Otu00413,0.735865,NA,NA
Otu00414,1.01816,NA,NA
Otu00416,1.41291,NA,NA
Otu00417,0.704902,NA,NA
Otu00418,0.664089,NA,NA
Otu00419,0.624252,NA,NA
Otu00420,0.977258,NA,NA
Otu00421,1.57402,NA,NA
Otu00422,0.438324,NA,NA
Otu00423,0.559774,NA,NA
Otu00424,1.00892,NA,NA
