,mouse,treatment,experiment,day,cfu
85,1312,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_2_032921,9,1
86,1284,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_2_032921,9,1
87,1285,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_2_032921,9,1
88,1286,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_2_032921,9,1
89,1287,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_2_032921,9,1
90,1305,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_2_032921,9,7900000
91,1306,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_2_032921,9,1400000
92,1229,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_1_012521,1,1
93,1230,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_1_012521,1,1100
94,1231,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_1_012521,1,1
95,1218,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_1_012521,1,1
96,1219,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_1_012521,1,1
97,1229,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_1_012521,2,1
98,1230,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_1_012521,2,82000
99,1231,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_1_012521,2,1
100,1218,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_1_012521,2,42000
101,1219,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_1_012521,2,1
102,1229,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_1_012521,3,1
103,1231,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_1_012521,3,1
104,1218,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_1_012521,3,8000
105,1219,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_1_012521,3,1
106,1229,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_1_012521,5,1
107,1230,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_1_012521,5,28000
108,1231,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_1_012521,5,1
109,1218,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_1_012521,5,96000
110,1219,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_1_012521,5,1
111,1229,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_1_012521,9,1
112,1230,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_1_012521,9,17000
113,1231,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_1_012521,9,1
114,1218,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_1_012521,9,9000
115,1219,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_1_012521,9,1
116,1283,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,1,279000
117,1288,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,1,23000
118,1291,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,1,5000
119,1292,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,1,1
120,1293,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,1,1
121,1301,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,1,2000
122,1309,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,1,4000
